Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage,52 Week High,52 Week Low
BRITANNIA.NS,4813.0498046875,4881.69802734375,4931.5102428089485,4836.944255371094,4918.251551487924,4805.0693313973,1.9550770578520793%,2.3554752758939155%,Negative,2.402112786730712%,-2.402112786730712%,,
MAPMYINDIA.NS,1901.199951171875,1796.7439990234375,1818.1965942382812,1813.4293646240235,1846.4649698141577,1762.1143932348973,0.2628847699974321%,4.786895612628715%,Positive,-4.56514753116493%,4.56514753116493%,,
CESC.NS,135.5,123.2539990234375,127.30113567005505,100.18963569641113,125.13833977715949,105.86504032461393,27.060184204876865%,18.205537345896104%,Positive,-6.440527248079819%,6.440527248079819%,,
CSBBANK.NS,389.20001220703125,357.05800048828127,363.65681873668325,346.15024978637695,365.00413730113127,347.18271163493785,5.057505797297647%,5.133154696058894%,Positive,-7.023983094578883%,7.023983094578883%,,
CANFINHOME.NS,798.8499755859375,763.6,781.5409074263139,767.7993658447266,772.8254182304203,748.7567562066121,1.7897307803151092%,3.2144834519752488%,Positive,-2.2147360419845423%,2.2147360419845423%,,
CAPLIPOINT.NS,1280.9000244140625,1335.9399951171874,1399.0318131880326,1161.991286315918,1357.7549273696306,1183.2061701419498,20.399509846898198%,14.752184499404713%,Negative,8.443824340547215%,-8.443824340547215%,,
CEATLTD.NS,2686.0,2663.2480078125,2720.538640802557,2373.9580541992186,2653.5876397356637,2350.761789018359,14.599271709552031%,12.882030503131489%,Negative,1.269551561758671%,-1.269551561758671%,,
CENTRALBK.NS,65.5999984741211,61.24399993896484,63.146590666337445,46.477749805450436,60.69782921123564,48.78488667451557,35.864130537%,24.419330142552532%,Positive,-3.885257750093427%,3.885257750093427%,,
CDSL.NS,1884.449951171875,1802.4639990234375,1834.0590903542259,1533.8404830932618,1811.9194258478865,1585.0408269103723,19.573000619694163%,14.31373849087253%,Positive,-2.7475047604882104%,2.7475047604882104%,,
CENTURYPLY.NS,657.8499755859375,661.9380029296875,694.3715917413884,682.258837890625,684.5979420416559,667.8851093565758,1.7753898048742067%,2.502351445023359%,Negative,5.259664506703069%,-5.259664506703069%,,
CHALET.NS,850.9000244140625,804.3560009765625,812.7295462868431,618.771749420166,801.0919555466232,647.5705920759953,31.345612828709392%,23.707278457235994%,Positive,-4.696578130032402%,4.696578130032402%,,
CHAMBLFERT.NS,380.75,353.5860009765625,357.30909104780716,311.7637282562256,356.4258354180567,325.00252355619944,14.608935762453331%,9.668636267196105%,Positive,-6.5604009356304065%,6.5604009356304065%,,
CHENNPETRO.NS,941.4000244140625,891.4099975585938,904.8068195689808,618.5041442871094,880.817072804897,662.9852336965663,46.28953224102728%,32.85621278377182%,Positive,-4.04431134399644%,4.04431134399644%,,
CHOLAHLDNG.NS,1139.8499755859375,1077.6680004882812,1089.6306748823686,1039.9594030761718,1085.1530684167876,1005.2597492752643,4.776270271634686%,7.947529899523172%,Positive,-4.608836907880772%,4.608836907880772%,,
